School Number,School Name,LA Code,Local Authority,Sector,Governance - see notes,WM Code,Welsh Medium Type - see notes,School Type,Religious Character,Address 1,Address 2,Address 3,Address 4,Postcode,Phone Number,Pupils - see notes
6612048,Ysgol Bro Plenydd,661,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Y Ffor,Pwllheli,Gwynedd,,LL53 6UP,01766 810625,75
6612049,Ysgol Gynradd Garndolbenmaen,661,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Garndolbenmaen,Gwynedd,,,LL51 9SZ,01766 530626,45
6612060,Ysgol Gynradd Llanbedrog,661,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Llanbedrog,Pwllheli,Gwynedd,,LL53 7NU,01758 740631,95
6612066,Ysgol Gynradd Llangybi,661,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Llangybi,Pwllheli,Gwynedd,,LL53 6DQ,01766 810564,34
6612069,Ysgol Llanllechid,661,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Llanllechid,Bangor,Gwynedd,,LL57 3EH,01248 600600,274
6612070,Ysgol Gynradd Llanllyfni,661,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Llanllyfni,Caernarfon,Gwynedd,,LL54 6SH,01286 880729,83
6612075,Ysgol Babanod Morfa Nefyn,661,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Morfa Nefyn,Pwllheli,Gwynedd,,LL53 6AR,01758 720870,42
6612078,Ysgol Baladeulyn,661,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Nantlle,Caernarfon,Gwynedd,,LL54 6BT,01286 880884,24
6612081,Ysgol Gynradd Nebo,661,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Nebo,Caernarfon,Gwynedd,,LL54 6EE,01286 881273,18
6612085,Ysgol Gymuned Penisarwaun,661,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Penisarwaen,Caernarfon,Gwynedd,,LL55 3BW,01286 870879,57
6612089,Ysgol Bro Lleu,661,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Penygroes,Caernarfon,Gwynedd,,LL54 6RL,01286 880883,199
6612093,Ysgol Gynradd Pentreuchaf,661,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Pentreuchaf,Pwllheli,Gwynedd,,LL53 8DZ,01758 750600,98
6612097,Ysgol Rhiwlas,661,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Rhiwlas,Bangor,Gwynedd,,LL57 4EH,01248 352483,39
6612098,Ysgol Gynradd Rhosgadfan,661,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Rhosgadfan,Caernarfon,Gwynedd,,LL54 7EU,01286 830160,40
6612099,Ysgol Gynradd Rhostryfan,661,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Rhostryfan,Caernarfon,Gwynedd,,LL54 7LR,01286 830727,90
6612103,Ysgol Sarn Bach,661,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Sarn Bach,Pwllheli,Gwynedd,,LL53 7LF,01758 712714,48
6612104,Ysgol Eifion Wyn,661,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Porthmadog,Gwynedd,,,LL49 9NU,01766 513286,203
6612108,Ysgol Gynradd Talysarn,661,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,COED MADOG,TALYSARN,Gwynedd,,LL54 6HR,01286 880885,101
6612110,Ysgol Y Gorlan,661,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Tremadog,Porthmadog,Gwynedd,,LL49 9RN,01766 512773,119
6612111,Ysgol Yr Eifl,661,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Trefor,Caernarfon,Gwynedd,,LL54 5LU,01286 660523,55
6612112,Ysgol Gynradd Tudweiliog,661,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Tudweiliog,Pwllheli,Gwynedd,,LL53 8ND,01758 770669,55
6612113,Ysgol Waunfawr,661,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Waunfawr,Caernarfon,Gwynedd,,LL55 4LJ,01286 650451,132
6612116,Ysgol Glancegin,661,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Maesgeirchen,Bangor,Gwynedd,,LL57 1ST,01248 353097,249
6612119,Ysgol Yr Hendre,661,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Caernarfon,Gwynedd,,,LL55 2AT,01286 674332,401
6612122,Ysgol Bontnewydd,661,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Bontnewydd,Caernarfon,Gwynedd,,LL55 2UF,01286 673880,197
6612123,Ysgol Gymraeg Y Garnedd,661,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Ffordd Penrhos,Bangor,Gwynedd,,LL57 2LX,01248 352534,326
6612125,Ysgol Cymerau,661,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Ffordd Mela,Pwllheli,Gwynedd,,LL53 5AR,01758 612001,330
6612126,Ysgol Abercaseg (Babanod),661,Gwynedd,Primary,Community,WM,Welsh medium,Nursery & Infants,---,Bethesda,Bangor,Gwynedd,,LL57 3PL,01248 600194,123
6612127,Ysgol Y Felinheli,661,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Felinheli,Gwynedd,,,LL56 4TZ,01248 670748,192
6612181,Ysgol y Traeth,661,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Abermaw,Gwynedd,,,LL42 1HH,01341 280479,219
6612185,Ysgol Gynradd Dyffryn Dulas,661,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Corris,Machynlleth,Powys,,SY20 9TQ,01654 761622,54
6612189,Ysgol Gynradd Dyffryn Ardudwy,661,Gwynedd,Primary,Community,WM,Welsh medium,Infants & Juniors,---,Dyffryn Ardudwy,Gwynedd,,,LL44 2EP,01341 247294,92
6612190,Ysgol Bro Cynfal,661,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Ffestiniog,Blaenau Ffestiniog,Gwynedd,,LL41 4NF,01766 762668,63
6612192,Ysgol Edmwnd Prys,661,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Gellilydan,Blaenau Ffestiniog,Gwynedd,,LL41 4DY,01766 590348,32
6612194,Ysgol Gynradd Llanbedr,661,Gwynedd,Primary,Community,WM,Welsh medium,Infants & Juniors,---,Llanbedr,Gwynedd,,,LL45 2NW,01341 241422,52
6612198,Ysgol Y Garreg,661,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Llanfrothen,Penrhyndeudraeth,Gwynedd,,LL48 6LJ,01766 770727,23
6612199,Ysgol O M Edwards,661,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Llanuwchllyn,Bala,Gwynedd,,LL23 7UB,01678 540242,106
6612205,Ysgol Manod,661,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Blaenau Ffestiniog,Gwynedd,,,LL41 4AF,01766 830272,108
6612207,Ysgol Gynradd Pennal,661,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Pennal,Machynlleth,Gwynedd,,SY20 9JT,01654 791225,23
6612208,Ysgol Cefn Coch,661,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Penrhyndeudraeth,Gwynedd,,,LL48 6AE,01766 770291,172
6612210,Ysgol Talsarnau,661,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Talsarnau,Gwynedd,,,LL47 6TA,01766 770768,45
6612211,Ysgol Gynradd Tanygrisiau,661,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Blaenau Ffestiniog,Gwynedd,,,LL41 3SU,01766 830795,67
6612212,Ysgol Gynradd Penybryn,661,Gwynedd,Primary,Community,WM,Welsh medium,Infants & Juniors,---,Tywyn,Gwynedd,,,LL36 9EF,01654 710237,254
6612213,Ysgol Bro Hedd Wyn,661,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Trawsfynydd,Blaenau Ffestiniog,Gwynedd,,LL41 4SE,01766 540247,64
6612214,Ysgol Bro Tryweryn,661,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Frongoch,Bala,Gwynedd,,LL23 7NT,01678 520740,42
6612219,Ysgol Tanycastell,661,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Harlech,Gwynedd,,,LL46 2UE,01766 780454,74
6612220,Ysgol Ffridd Y Llyn,661,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Cefnddwysarn,Bala,Gwynedd,,LL23 7HE,01678 530373,63
6612221,Ysgol Maenofferen,661,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Blaenau Ffestiniog,Gwynedd,,,LL41 3UL,01766 831256,224
6612227,Ysgol Hirael,661,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Orme Road,Bangor,Gwynedd,,LL57 1BA,01248 352182,179
6612228,Ysgol Craig y Deryn,661,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Llanegryn,Gwynedd,,,LL36 9SG,01654 710463,116
6612229,Ysgol Bro Llifon,661,Gwynedd,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Groeslon,Caernarfon,,,LL54 7DT,01286 830111,167
6613004,Ysgol Pont Y Gof,661,Gwynedd,Primary,Voluntary controlled,WM,Welsh medium,"Nursery, Infants & Juniors",Church in Wales,Botwnnog,Pwllheli,Gwynedd,,LL53 8RA,01758 730318,101
6613005,Ysgol Gynradd Maesincla,661,Gwynedd,Primary,Voluntary controlled,WM,Welsh medium,"Nursery, Infants & Juniors",Church in Wales,Maesincla Caernarfon,Gwynedd,,,LL55 1DF,01286 673787,278
6613009,Ysgol Y Faenol,661,Gwynedd,Primary,Voluntary controlled,WM,Welsh medium,"Nursery, Infants & Juniors",Church in Wales,Penrhosgarnedd,Bangor,Gwynedd,,LL57 2NN,01248 352162,211
6613010,Ysgol Foel Gron,661,Gwynedd,Primary,Voluntary controlled,WM,Welsh medium,"Nursery, Infants & Juniors",Church in Wales,Mynytho,Pwllheli,Gwynedd,,LL53 7RN,01758 740567,44
6613013,Ysgol Llandygai,661,Gwynedd,Primary,Voluntary controlled,WM,Welsh medium,"Nursery, Infants & Juniors",Church in Wales,Llandygai,Bangor,Gwynedd,,LL57 4HU,01248 352163,120
6613018,Ysgol Gynradd Llandwrog,661,Gwynedd,Primary,Voluntary controlled,WM,Welsh medium,"Nursery, Infants & Juniors",Church in Wales,Llandwrog,Caernarfon,Gwynedd,,LL54 5ST,01286 830223,41
6613023,Ysgol Gynradd Llanystumdwy,661,Gwynedd,Primary,Voluntary controlled,WM,Welsh medium,"Nursery, Infants & Juniors",Church in Wales,Llanystumdwy,Criccieth,Gwynedd,,LL52 0SP,01766 522961,22
6613029,Ysgol Tregarth,661,Gwynedd,Primary,Voluntary controlled,WM,Welsh medium,"Nursery, Infants & Juniors",Church in Wales,Tregarth,Bangor,Gwynedd,,LL57 4PG,01248 600735,104
6613030,Ysgol Cae Top,661,Gwynedd,Primary,Voluntary controlled,WM,Welsh medium,"Nursery, Infants & Juniors",Church in Wales,Ffordd Eithinog,Bangor,Gwynedd,,LL57 2GZ,01248 352325,236
6613300,Ysgol Santes Helen,661,Gwynedd,Primary,Voluntary aided,WM,Welsh medium,"Nursery, Infants & Juniors",Roman Catholic,Twtil,Caernarfon,Gwynedd,,LL55 1PF,01286 674856,67
6613301,Ysgol Ein Harglwyddes,661,Gwynedd,Primary,Voluntary aided,EW,English with significant Welsh,"Nursery, Infants & Juniors",Roman Catholic,Caernarfon Road,Bangor,Gwynedd,,LL57 2UT,01248 352463,118
6614002,Ysgol Dyffryn Ogwen Bethesda,661,Gwynedd,Secondary,Community,AB,Bilingual (Type A),Secondary (ages 11-19),---,Ffordd Coetmor,Bethesda,Gwynedd,,LL57 3NN,01248 600291,462
6614003,Ysgol Botwnnog,661,Gwynedd,Secondary,Community,AB,Bilingual (Type A),Secondary (ages 11-16),---,Botwnnog,Llyn,Gwynedd,,LL53 8PY,01758 730220,445
6614004,Ysgol Brynrefail,661,Gwynedd,Secondary,Community,AB,Bilingual (Type A),Secondary (ages 11-19),---,Llanrug,Caernarfon,Gwynedd,,LL55 4AD,01286 672381,742
6614007,Ysgol Dyffryn Nantlle,661,Gwynedd,Secondary,Community,AB,Bilingual (Type A),Secondary (ages 11-19),---,Ffordd Y Brenin,Penygroes,Gwynedd,,LL54 6AA,01286 880345,415
6614009,Ysgol Eifionydd,661,Gwynedd,Secondary,Community,AB,Bilingual (Type A),Secondary (ages 11-16),---,Porthmadog,Gwynedd,,,LL49 9HS,01766 512114,381
6614031,Ysgol Y Moelwyn,661,Gwynedd,Secondary,Community,AB,Bilingual (Type A),Secondary (ages 11-16),---,Heol Wynne,Blaenau Ffestiniog,Gwynedd,,LL41 3DW,01766 830435,316
6614032,Ysgol Uwchradd Tywyn,661,Gwynedd,Secondary,Community,AB,Bilingual (Type A),Secondary (ages 11-16),---,Station Road,Tywyn,Gwynedd,,LL36 9EU,01654 710256,320
6614034,Ysgol Ardudwy,661,Gwynedd,Secondary,Community,AB,Bilingual (Type A),Secondary (ages 11-16),---,Ffordd y Traeth,Harlech,Gwynedd,,LL46 2UH,01766 780331,317
6614036,Ysgol Friars,661,Gwynedd,Secondary,Community,EW,English with significant Welsh,Secondary (ages 11-19),---,Lon y Bryn,Bangor,Gwynedd,,LL57 2LN,01248 364905,1309
6614037,Ysgol Tryfan,661,Gwynedd,Secondary,Community,AB,Bilingual (Type A),Secondary (ages 11-19),---,Lon Powys,Bangor,Gwynedd,,LL57 2TY,01248 352633,424
6614039,Ysgol Syr Hugh Owen,661,Gwynedd,Secondary,Community,AB,Bilingual (Type A),Secondary (ages 11-19),---,Bethel Road,Caernarfon,Gwynedd,,LL55 1HW,01286 673076,857
